category_list, market , funding_total_usd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Politics|Social Media|News|, News ,1750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Publishing|Education|, Publishing ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|, Electronics ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Tourism|Entertainment|Games|, Tourism ,60000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,7000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,4912393 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,41250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Games|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,1750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Estate|, Real Estate , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,4400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,2050000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|, Search ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|Art|E-Commerce|, Marketplaces ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,2535000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,4962651 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
